Год,Прогноз_номинальной_зарплаты,Прогноз_реальной_зарплаты,Ошибка_номинальной_зарплаты,Ошибка_реальной_зарплаты,Отрасль
2024,142067.0,124773.0,0.17202319695273693,0.2507103600768169,добыча полезных ископаемых
2025,154800.0,134190.0,0.17202319695273693,0.2507103600768169,добыча полезных ископаемых
2026,171798.0,146735.0,0.17202319695273693,0.2507103600768169,добыча полезных ископаемых
2027,189299.0,157835.0,0.17202319695273693,0.2507103600768169,добыча полезных ископаемых
2028,207007.0,168391.0,0.17202319695273693,0.2507103600768169,добыча полезных ископаемых
2024,48536.0,43944.0,0.29234835076203125,0.15974766856266137,обработка древесины 
2025,54298.0,47706.0,0.29234835076203125,0.15974766856266137,обработка древесины 
2026,59820.0,51908.0,0.29234835076203125,0.15974766856266137,обработка древесины 
2027,65865.0,56638.0,0.29234835076203125,0.15974766856266137,обработка древесины 
2028,72460.0,61983.0,0.29234835076203125,0.15974766856266137,обработка древесины 
2024,92894.0,85702.0,0.6221319749424175,0.5668929061328075,металлургическое производство 
2025,104649.0,95410.0,0.6221319749424175,0.5668929061328075,металлургическое производство 
2026,116982.0,106597.0,0.6221319749424175,0.5668929061328075,металлургическое производство 
2027,130155.0,118933.0,0.6221319749424175,0.5668929061328075,металлургическое производство 
2028,144131.0,132516.0,0.6221319749424175,0.5668929061328075,металлургическое производство 
2024,77018.0,68146.0,0.7000155981826451,0.20163452820824382,строительство
2025,86502.0,74970.0,0.7000155981826451,0.20163452820824382,строительство
2026,98100.0,82957.0,0.7000155981826451,0.20163452820824382,строительство
2027,110482.0,91483.0,0.7000155981826451,0.20163452820824382,строительство
2028,123555.0,100533.0,0.7000155981826451,0.20163452820824382,строительство
2024,188444.0,166474.0,1.1765584859933522,0.3992677205555418,финансовая деятельность
2025,214805.0,184338.0,1.1765584859933522,0.3992677205555418,финансовая деятельность
2026,245102.0,205320.0,1.1765584859933522,0.3992677205555418,финансовая деятельность
2027,276535.0,226748.0,1.1765584859933522,0.3992677205555418,финансовая деятельность
2028,307161.0,248292.0,1.1765584859933522,0.3992677205555418,финансовая деятельность
2024,59210.0,52249.0,0.3133579615459246,0.20164490216941583,образование
2025,65377.0,57719.0,0.3133579615459246,0.20164490216941583,образование
2026,72651.0,63489.0,0.3133579615459246,0.20164490216941583,образование
2027,79979.0,68662.0,0.3133579615459246,0.20164490216941583,образование
2028,87229.0,73039.0,0.3133579615459246,0.20164490216941583,образование
